identifier,category,timestamp,x,y
20.0,2.0,1683896499.72016,918,274
20.0,2.0,1683896499.9070325,907,273
9.0,2.0,1683896492.5275025,458,411
9.0,2.0,1683896493.1660857,459,413
9.0,2.0,1683896493.8046687,459,412
9.0,2.0,1683896494.4432518,458,409
9.0,2.0,1683896495.081835,458,409
9.0,2.0,1683896495.720418,458,410
9.0,2.0,1683896496.3590012,458,410
9.0,2.0,1683896496.9975843,458,408
9.0,2.0,1683896497.6361673,458,406
9.0,2.0,1683896498.2747505,459,405
9.0,2.0,1683896498.9133334,459,407
9.0,2.0,1683896499.5519166,458,409
9.0,2.0,1683896500.1904998,458,409
9.0,2.0,1683896500.8290827,457,407
9.0,2.0,1683896501.467666,457,408
9.0,2.0,1683896502.106249,456,408
9.0,2.0,1683896502.744832,457,413
9.0,2.0,1683896503.3834152,457,411
9.0,2.0,1683896504.0219984,456,409
9.0,2.0,1683896504.6605814,456,410
5.0,2.0,1683896492.550331,724,340
5.0,2.0,1683896492.7040384,741,354
5.0,2.0,1683896492.8577454,758,369
5.0,2.0,1683896493.0114527,779,392
5.0,2.0,1683896493.16516,797,409
5.0,2.0,1683896493.3188672,818,428
5.0,2.0,1683896493.4725742,844,453
5.0,2.0,1683896493.6262815,881,490
5.0,2.0,1683896493.7799888,914,526
5.0,2.0,1683896493.9336958,953,565
5.0,2.0,1683896494.087403,1005,603
5.0,2.0,1683896494.2411103,1046,623
5.0,2.0,1683896494.3948176,1091,646
5.0,2.0,1683896494.5485246,1135,679
10.0,2.0,1683896493.1622727,1021,337
10.0,2.0,1683896493.4932137,1009,332
10.0,2.0,1683896493.8241546,997,327
10.0,2.0,1683896494.1550956,988,321
10.0,2.0,1683896494.4860365,973,315
10.0,2.0,1683896494.8169775,963,312
10.0,2.0,1683896495.1479185,950,309
10.0,2.0,1683896495.4788594,937,305
10.0,2.0,1683896495.8098004,928,301
10.0,2.0,1683896496.1407413,917,296
10.0,2.0,1683896496.471682,904,293
10.0,2.0,1683896496.802623,893,290
10.0,2.0,1683896497.133564,884,287
10.0,2.0,1683896497.464505,871,285
10.0,2.0,1683896497.795446,862,283
10.0,2.0,1683896498.126387,857,281
10.0,2.0,1683896498.4573278,852,279
10.0,2.0,1683896498.7882688,842,276
10.0,2.0,1683896499.1192098,839,275
10.0,2.0,1683896499.4501507,824,272
15.0,2.0,1683896495.530082,612,421
15.0,2.0,1683896495.6779895,602,419
15.0,2.0,1683896495.8258972,590,420
15.0,2.0,1683896495.9738047,575,425
15.0,2.0,1683896496.1217122,561,427
15.0,2.0,1683896496.26962,549,428
15.0,2.0,1683896496.4175274,536,428
15.0,2.0,1683896496.565435,521,429
15.0,2.0,1683896496.7133427,509,428
15.0,2.0,1683896496.8612502,502,431
15.0,2.0,1683896497.0091577,496,432
15.0,2.0,1683896497.1570654,492,430
15.0,2.0,1683896497.304973,488,426
15.0,2.0,1683896497.4528806,484,428
15.0,2.0,1683896497.600788,478,430
15.0,2.0,1683896497.7486956,474,435
15.0,2.0,1683896497.8966033,471,433
15.0,2.0,1683896498.0445108,466,431
15.0,2.0,1683896498.1924183,464,433
15.0,2.0,1683896498.340326,461,436
19.0,2.0,1683896496.2108033,607,461
19.0,2.0,1683896496.332925,572,469
19.0,2.0,1683896496.455047,536,471
19.0,2.0,1683896496.5771685,493,480
19.0,2.0,1683896496.6992903,473,478
21.0,2.0,1683896496.5140562,566,467
21.0,2.0,1683896496.6428788,578,450
21.0,2.0,1683896496.7717013,557,452
21.0,2.0,1683896496.900524,536,453
21.0,2.0,1683896497.0293465,510,453
21.0,2.0,1683896497.158169,495,456
21.0,2.0,1683896497.2869916,484,459
21.0,2.0,1683896497.4158142,473,461
24.0,2.0,1683896497.2263174,633,438
24.0,2.0,1683896497.3740008,623,434
24.0,2.0,1683896497.5216844,615,435
24.0,2.0,1683896497.6693678,606,438
24.0,2.0,1683896497.8170514,595,441
24.0,2.0,1683896497.9647348,577,442
24.0,2.0,1683896498.1124184,556,445
24.0,2.0,1683896498.2601018,538,447
24.0,2.0,1683896498.4077854,520,448
24.0,2.0,1683896498.5554688,501,450
24.0,2.0,1683896498.7031524,486,453
24.0,2.0,1683896498.8508358,476,453
24.0,2.0,1683896498.9985194,463,455
23.0,2.0,1683896497.2273166,1040,350
23.0,2.0,1683896497.4926481,1022,342
23.0,2.0,1683896497.7579796,1008,335
23.0,2.0,1683896498.0233111,996,330
23.0,2.0,1683896498.2886424,984,323
23.0,2.0,1683896498.553974,967,317
23.0,2.0,1683896498.8193054,953,313
23.0,2.0,1683896499.084637,942,308
23.0,2.0,1683896499.3499684,928,301
23.0,2.0,1683896499.6153,917,297
23.0,2.0,1683896499.8806314,907,294
23.0,2.0,1683896500.1459627,897,289
23.0,2.0,1683896500.4112942,888,289
23.0,2.0,1683896500.6766257,901,282
23.0,2.0,1683896500.9419572,867,283
23.0,2.0,1683896501.2072887,855,281
23.0,2.0,1683896501.4726202,847,279
23.0,2.0,1683896501.7379515,839,277
