identifier,category,timestamp,x,y
3.0,6.0,1682594199.6495004,1013,326
3.0,6.0,1682594199.8415053,1009,322
3.0,6.0,1682594200.0335102,1003,316
3.0,6.0,1682594200.2255151,997,312
3.0,6.0,1682594200.41752,994,310
3.0,6.0,1682594200.609525,991,306
3.0,6.0,1682594200.80153,984,306
3.0,6.0,1682594200.9935346,981,299
3.0,6.0,1682594201.1855395,976,295
3.0,6.0,1682594201.3775444,970,295
3.0,6.0,1682594201.5695493,964,294
3.0,6.0,1682594201.7615542,960,298
3.0,6.0,1682594201.9535592,956,297
3.0,6.0,1682594202.145564,950,295
3.0,6.0,1682594202.3375688,944,300
3.0,6.0,1682594202.5295737,938,289
3.0,6.0,1682594202.7215786,936,289
3.0,6.0,1682594202.9135835,930,284
3.0,6.0,1682594203.1055884,923,285
3.0,6.0,1682594203.2975934,919,282
3.0,6.0,1682594203.4895983,916,284
3.0,6.0,1682594203.681603,911,282
3.0,6.0,1682594203.8736079,906,281
3.0,6.0,1682594204.0656128,904,277
3.0,6.0,1682594204.2576177,901,275
3.0,6.0,1682594204.4496226,897,274
3.0,6.0,1682594204.6416276,890,270
3.0,6.0,1682594204.8336325,887,268
3.0,6.0,1682594205.0256374,884,267
3.0,6.0,1682594205.217642,881,264
3.0,6.0,1682594205.409647,876,262
3.0,6.0,1682594205.601652,871,259
3.0,6.0,1682594205.7936568,866,255
3.0,6.0,1682594205.9856617,863,252
3.0,6.0,1682594206.1776667,858,251
3.0,6.0,1682594206.3696716,853,251
3.0,6.0,1682594206.5616763,849,248
3.0,6.0,1682594206.7536812,847,246
3.0,6.0,1682594206.945686,846,243
3.0,6.0,1682594207.137691,841,235
3.0,6.0,1682594207.329696,839,234
3.0,6.0,1682594207.5217009,838,232
3.0,6.0,1682594207.7137058,834,230
3.0,6.0,1682594207.9057105,815,229
3.0,6.0,1682594208.0977154,811,228
3.0,6.0,1682594208.2897203,806,226
3.0,6.0,1682594208.4817252,792,218
3.0,6.0,1682594208.6737301,788,217
3.0,6.0,1682594208.865735,766,205
3.0,6.0,1682594209.05774,764,204
3.0,6.0,1682594209.2497447,752,197
3.0,6.0,1682594209.4417496,738,191
3.0,6.0,1682594209.6337545,736,191
3.0,6.0,1682594209.8257594,734,189
3.0,6.0,1682594210.0177643,732,189
3.0,6.0,1682594210.2097692,730,187
3.0,6.0,1682594210.4017742,727,186
3.0,6.0,1682594210.5937788,714,179
3.0,6.0,1682594210.7857838,711,178
3.0,6.0,1682594210.9777887,647,151
3.0,6.0,1682594211.1697936,647,151
3.0,6.0,1682594211.3617985,645,151
3.0,6.0,1682594211.5538034,645,150
3.0,6.0,1682594211.7458084,644,150
3.0,6.0,1682594211.9378133,645,149
3.0,6.0,1682594212.129818,644,148
3.0,6.0,1682594212.321823,642,148
3.0,6.0,1682594212.5138278,641,148
3.0,6.0,1682594212.7058327,640,147
3.0,6.0,1682594212.8978376,639,148
3.0,6.0,1682594213.0898426,639,147
3.0,6.0,1682594213.2818475,635,147
3.0,6.0,1682594213.4738522,635,146
3.0,6.0,1682594213.665857,635,145
3.0,6.0,1682594213.857862,631,145
3.0,6.0,1682594214.049867,632,145
3.0,6.0,1682594214.2418718,628,145
3.0,6.0,1682594214.4338768,628,144
3.0,6.0,1682594214.6258817,626,144
3.0,6.0,1682594214.8178864,625,143
3.0,6.0,1682594215.0098913,625,143
3.0,6.0,1682594215.2018962,625,143
3.0,6.0,1682594215.393901,623,143
3.0,6.0,1682594215.585906,624,141
3.0,6.0,1682594215.777911,623,141
3.0,6.0,1682594215.9699159,623,141
3.0,6.0,1682594216.1619205,623,141
3.0,6.0,1682594216.3539255,621,141
3.0,6.0,1682594216.5459304,620,141
3.0,6.0,1682594216.7379353,618,141
3.0,6.0,1682594216.9299402,617,141
3.0,6.0,1682594217.1219451,615,140
3.0,6.0,1682594217.31395,615,140
3.0,6.0,1682594217.5059547,615,141
3.0,6.0,1682594217.6979597,606,139
3.0,6.0,1682594217.8899646,605,139
3.0,6.0,1682594218.0819695,603,139
3.0,6.0,1682594218.2739744,601,138
