identifier,category,timestamp,x,y
19.0,2.0,1682594354.3934398,579,283
19.0,2.0,1682594354.7271338,581,289
19.0,2.0,1682594355.0608277,590,294
19.0,2.0,1682594355.3945217,593,297
19.0,2.0,1682594355.7282157,596,303
19.0,2.0,1682594356.0619097,600,308
19.0,2.0,1682594356.3956037,603,315
19.0,2.0,1682594356.7292979,608,318
19.0,2.0,1682594357.0629919,611,324
19.0,2.0,1682594357.3966858,625,340
19.0,2.0,1682594357.7303798,636,360
19.0,2.0,1682594358.0640738,642,365
19.0,2.0,1682594358.3977678,649,379
19.0,2.0,1682594358.7314618,654,382
19.0,2.0,1682594359.0651557,666,400
19.0,2.0,1682594359.3988497,673,406
19.0,2.0,1682594359.7325437,683,419
19.0,2.0,1682594360.0662377,705,469
19.0,2.0,1682594360.3999317,735,521
19.0,2.0,1682594360.7336257,744,528
19.0,2.0,1682594361.0673196,756,554
19.0,2.0,1682594361.4010136,774,561
19.0,2.0,1682594361.7347076,780,566
19.0,2.0,1682594362.0684016,788,569
19.0,2.0,1682594362.4020956,830,597
19.0,2.0,1682594362.7357895,836,598
19.0,2.0,1682594363.0694835,848,605
19.0,2.0,1682594363.4031775,854,612
19.0,2.0,1682594363.7368717,848,618
19.0,2.0,1682594364.0705657,839,623
19.0,2.0,1682594364.4042597,840,627
19.0,2.0,1682594364.7379537,843,631
19.0,2.0,1682594365.0716476,843,636
19.0,2.0,1682594365.4053416,846,640
19.0,2.0,1682594365.7390356,847,644
19.0,2.0,1682594366.0727296,846,657
19.0,2.0,1682594366.4064236,848,663
19.0,2.0,1682594366.7401175,854,667
20.0,3.0,1682594388.9017088,903,279
20.0,3.0,1682594389.148786,900,276
20.0,3.0,1682594389.3958633,899,272
20.0,3.0,1682594389.6429405,894,269
20.0,3.0,1682594389.8900177,893,272
21.0,0.0,1682594378.428594,1224,446
21.0,0.0,1682594378.6968858,1214,440
21.0,0.0,1682594378.9651775,1204,437
21.0,0.0,1682594379.2334692,1186,418
21.0,0.0,1682594379.5017607,1166,409
21.0,0.0,1682594379.7700524,1157,398
21.0,0.0,1682594380.0383441,1147,395
21.0,0.0,1682594380.3066359,1141,391
21.0,0.0,1682594380.5749276,1133,382
21.0,0.0,1682594380.8432193,1123,379
21.0,0.0,1682594381.111511,1108,369
21.0,0.0,1682594381.3798025,1100,368
21.0,0.0,1682594381.6480942,1084,349
21.0,0.0,1682594381.916386,1068,346
21.0,0.0,1682594382.1846776,1061,335
21.0,0.0,1682594382.4529693,1055,340
21.0,0.0,1682594382.721261,1048,338
21.0,0.0,1682594382.9895527,1040,327
21.0,0.0,1682594383.2578442,1022,316
21.0,0.0,1682594383.526136,1018,312
21.0,0.0,1682594383.7944276,1012,314
21.0,0.0,1682594384.0627193,1006,307
21.0,0.0,1682594384.331011,996,301
21.0,0.0,1682594384.5993028,994,302
21.0,0.0,1682594384.8675942,988,299
21.0,0.0,1682594385.135886,984,294
21.0,0.0,1682594385.4041777,971,290
21.0,0.0,1682594385.6724694,967,287
21.0,0.0,1682594385.940761,968,284
21.0,0.0,1682594386.2090528,959,283
21.0,0.0,1682594386.4773445,953,280
21.0,0.0,1682594386.745636,950,281
21.0,0.0,1682594387.0139277,946,278
21.0,0.0,1682594387.2822194,943,272
21.0,0.0,1682594387.5505111,937,268
21.0,0.0,1682594387.8188028,929,266
21.0,0.0,1682594388.0870945,925,263
21.0,0.0,1682594388.3553863,903,252
21.0,0.0,1682594388.6236777,901,249
21.0,0.0,1682594388.8919694,900,246
21.0,0.0,1682594389.1602612,898,246
23.0,1.0,1682594407.450741,869,261
25.0,0.0,1682594415.915831,534,232
